StartTime,ErrCode,Repetition
2017/03/01 07:04:30,E620032L,1
2017/03/01 07:53:23,E620002L,1
2017/03/01 08:30:48,E630224L,1
2017/03/01 09:12:11,E620002L,1
2017/03/01 09:16:44,E620002L,1
2017/03/01 09:22:49,E620002L,1
2017/03/01 09:28:23,E620002L,3
2017/03/01 10:39:32,E620002L,2
2017/03/01 10:51:56,E620002L,1
2017/03/01 11:01:07,E630224L,1
2017/03/01 11:01:41,E620002L,2
2017/03/01 11:12:48,E620002L,1
2017/03/01 11:42:52,E620002L,2
2017/03/01 11:59:13,E630224L,1
2017/03/01 12:04:34,E601043L,1
2017/03/01 12:04:35,E620029L,1
2017/03/01 12:04:56,E620002L,4
2017/03/01 12:09:40,E620002L,1
2017/03/01 14:30:25,E620002L,1
2017/03/01 14:57:27,E601043L,1
2017/03/01 14:57:27,E620029L,1
2017/03/01 15:13:04,E610060L,1
2017/03/01 15:14:19,E620002L,2
2017/03/01 17:07:31,E620002L,1
2017/03/01 17:46:06,E620002L,2
2017/03/01 19:37:43,E630224L,1
2017/03/01 20:06:58,E630261L,1
2017/03/01 20:40:49,E620002L,1
2017/03/02 01:12:40,E620002L,1
2017/03/02 01:17:07,E620002L,2
2017/03/02 07:32:39,E620002L,2
2017/03/02 07:47:00,E620002L,1
2017/03/02 08:06:44,E620002L,1
2017/03/02 08:41:29,E620002L,1
2017/03/02 10:17:13,E620002L,1
2017/03/02 10:20:03,E620002L,1
2017/03/02 10:25:16,E620002L,1
2017/03/02 11:02:46,E620002L,1
2017/03/02 11:23:05,E620003L,1
2017/03/02 11:23:06,E620029L,1
2017/03/02 11:51:24,E620002L,1
2017/03/02 12:24:14,E620002L,1
2017/03/02 12:40:52,E620002L,1
2017/03/02 12:43:09,E620002L,1
2017/03/02 12:46:28,E620002L,1
2017/03/02 12:52:08,E620002L,2
2017/03/02 13:40:06,E620003L,1
2017/03/02 13:40:07,E620029L,1
2017/03/02 13:40:28,E601043L,1
2017/03/02 22:30:53,E620002L,1
2017/03/02 23:12:13,E620002L,1
2017/03/02 23:18:04,E620002L,1
2017/03/02 23:39:19,E620002L,1
2017/03/02 23:42:35,E620002L,1
2017/03/02 23:51:13,E620002L,2
2017/03/03 01:29:28,E620002L,1
2017/03/03 02:12:46,E620002L,3
2017/03/03 02:13:53,E620003L,2
2017/03/03 02:13:54,E620029L,2
2017/03/03 02:15:34,E620002L,1
2017/03/03 02:38:09,E620002L,2
2017/03/03 03:06:22,E620002L,1
2017/03/03 05:23:49,E620002L,1
2017/03/03 05:35:46,E620002L,2
2017/03/03 05:41:11,E620002L,1
2017/03/03 05:44:31,E620002L,1
2017/03/03 05:49:22,E620002L,2
2017/03/03 08:58:30,E602017L,1
2017/03/03 09:04:12,E620002L,1
2017/03/03 09:22:29,E620002L,1
2017/03/03 10:02:03,E620002L,1
2017/03/03 10:11:53,E620002L,1
2017/03/03 10:13:59,E620002L,1
2017/03/03 10:29:27,E620002L,1
2017/03/03 10:46:28,E620002L,1
2017/03/03 11:10:07,E620002L,1
2017/03/03 11:14:13,E620002L,1
2017/03/03 11:17:35,E610024L,1
2017/03/03 11:19:21,E620002L,2
2017/03/03 11:22:08,E620002L,1
2017/03/03 11:54:49,E620002L,1
2017/03/03 11:57:15,E620002L,1
2017/03/03 12:01:59,E620002L,1
2017/03/03 12:04:41,E620002L,1
2017/03/03 12:19:59,E620002L,2
2017/03/03 12:23:45,E620002L,1
2017/03/03 12:36:06,E620002L,1
2017/03/03 12:40:11,E620002L,1
2017/03/03 12:58:56,E620002L,1
2017/03/03 13:01:32,E620002L,1
2017/03/03 13:12:30,E620002L,1
2017/03/03 13:26:52,E620002L,1
2017/03/03 14:02:40,E620002L,2
2017/03/03 14:08:59,E610024L,1
2017/03/03 14:11:11,E620002L,1
2017/03/03 14:14:46,E620002L,2
2017/03/03 14:23:42,E620002L,1
2017/03/03 14:34:40,E630224L,2
2017/03/03 14:40:33,E630224L,1
2017/03/03 15:03:40,E750100L,1
2017/03/03 15:10:54,E620002L,1
2017/03/03 15:20:46,E620003L,1
2017/03/03 15:20:46,E620029L,1
2017/03/03 15:21:17,E601043L,1
2017/03/03 15:40:49,E601043L,1
2017/03/03 15:40:49,E620029L,1
2017/03/03 15:42:17,E602017L,1
2017/03/03 16:13:52,E630224L,1
2017/03/03 17:04:26,E630224L,1
2017/03/03 17:04:42,E620002L,1
2017/03/03 17:13:17,E630224L,1
2017/03/03 17:29:43,E630224L,1
2017/03/03 17:37:23,E630224L,1
2017/03/03 17:58:30,E630224L,2
2017/03/03 18:08:17,E620002L,1
2017/03/03 18:18:10,E620002L,1
2017/03/03 18:39:45,E620002L,2
2017/03/03 18:44:44,E620002L,1
2017/03/03 18:47:08,E620002L,1
2017/03/03 19:10:10,E620002L,2
2017/03/03 19:18:56,E620002L,1
2017/03/03 19:41:24,E620002L,1
2017/03/03 20:50:03,E620002L,2
2017/03/03 23:47:10,E620002L,2
2017/03/04 00:06:55,E620002L,1
2017/03/04 00:16:38,E620002L,1
2017/03/04 01:09:58,E620002L,1
2017/03/04 01:13:20,E620002L,1
2017/03/04 03:16:19,E620002L,5
2017/03/04 03:22:57,E620002L,2
2017/03/04 03:44:57,E620002L,1
2017/03/04 04:10:29,E620002L,1
2017/03/04 04:15:58,E620002L,1
2017/03/04 04:18:30,E620002L,2
2017/03/04 04:23:33,E620002L,1
2017/03/04 05:07:27,E620002L,2
2017/03/04 05:13:50,E620002L,1
2017/03/04 05:21:28,E620003L,1
2017/03/04 05:21:33,E620029L,1
2017/03/04 05:21:35,E601043L,1
2017/03/04 05:56:04,E620003L,1
2017/03/04 05:56:07,E620029L,1
2017/03/04 05:56:09,E601043L,1
2017/03/04 05:57:50,E602017L,1
2017/03/04 07:00:14,E620002L,1
2017/03/04 07:35:02,E620002L,2
2017/03/04 09:16:27,E620002L,1
2017/03/04 12:03:41,E620002L,1
2017/03/04 13:46:53,E620002L,1
2017/03/04 13:49:28,E620002L,2
2017/03/04 14:59:41,E620002L,2
2017/03/04 15:10:24,E630224L,1
2017/03/04 15:16:52,E620002L,1
2017/03/04 15:20:39,E620003L,1
2017/03/04 15:20:39,E620029L,1
2017/03/04 15:26:41,E620002L,1
2017/03/04 15:54:17,E630224L,1
2017/03/04 16:03:47,E620002L,1
2017/03/04 21:19:46,E620002L,2
2017/03/05 01:29:14,E620003L,1
2017/03/05 01:29:14,E620029L,1
2017/03/05 01:29:41,E601043L,1
2017/03/05 02:46:09,E620003L,1
2017/03/05 02:46:10,E620029L,1
2017/03/05 02:46:18,E601043L,1
2017/03/05 02:55:51,E620003L,1
2017/03/05 02:55:52,E620029L,1
2017/03/05 02:56:13,E601043L,1
2017/03/05 07:11:51,E620002L,1
2017/03/05 07:21:16,E620002L,1
2017/03/05 07:25:18,E620002L,1
2017/03/06 07:06:03,E620032L,1
2017/03/06 07:48:52,E620002L,1
2017/03/06 08:08:53,E620002L,1
2017/03/06 08:23:25,E620002L,1
2017/03/06 08:39:18,E620002L,1
2017/03/06 09:31:48,E630224L,1
2017/03/06 09:45:25,E630227L,1
2017/03/06 10:00:53,E620002L,1
2017/03/06 10:02:55,E630222L,1
2017/03/06 10:06:39,E630227L,1
2017/03/06 10:16:16,E630222L,1
2017/03/06 10:28:36,E630227L,1
2017/03/06 10:41:13,E620002L,1
2017/03/06 10:46:45,E620002L,1
2017/03/06 10:59:59,E620002L,1
2017/03/06 11:03:36,E620002L,1
2017/03/06 11:08:39,E620002L,2
2017/03/06 11:10:44,E620002L,1
2017/03/06 11:23:36,E620002L,2
2017/03/06 11:28:43,E620002L,3
2017/03/06 11:32:19,E620002L,2
2017/03/06 11:37:19,E620002L,1
2017/03/06 11:55:34,E620003L,1
2017/03/06 11:55:34,E620029L,1
2017/03/06 11:56:06,E550903L,1
2017/03/06 12:27:51,E620003L,1
2017/03/06 12:27:51,E620029L,1
2017/03/06 12:27:57,E550903L,1
2017/03/06 12:47:58,E620002L,3
2017/03/06 13:28:12,E620003L,1
2017/03/06 13:28:13,E620029L,1
2017/03/06 13:28:18,E550903L,1
2017/03/06 13:44:12,E620002L,1
2017/03/06 13:47:42,E620002L,1
2017/03/06 14:17:19,E620002L,2
2017/03/06 14:27:57,E620002L,2
2017/03/06 14:31:00,E620002L,2
2017/03/06 14:40:40,E630224L,2
2017/03/06 15:15:16,E620002L,1
2017/03/06 15:44:02,E620002L,1
2017/03/06 15:48:27,E630224L,1
2017/03/06 16:07:33,E630227L,1
2017/03/06 18:15:33,E601043L,1
2017/03/06 18:15:33,E620029L,1
2017/03/06 18:27:51,E620002L,1
2017/03/06 18:31:23,E620002L,2
2017/03/06 18:40:39,E620002L,1
2017/03/06 18:42:38,E630224L,1
2017/03/06 18:45:33,E620003L,1
2017/03/06 18:45:33,E620029L,1
2017/03/06 21:04:33,E602017L,1
2017/03/06 21:07:49,E620002L,1
2017/03/06 21:48:40,E630227L,1
2017/03/07 16:00:27,E620002L,1
2017/03/07 16:04:01,E620002L,2
2017/03/07 16:08:36,E620002L,2
2017/03/07 16:21:54,E620002L,1
2017/03/07 21:54:50,E620003L,1
2017/03/07 21:54:50,E620029L,1
2017/03/07 21:55:14,E601043L,1
2017/03/07 21:55:39,E620002L,2
2017/03/07 22:28:15,E620002L,1
2017/03/07 23:25:50,E620003L,1
2017/03/07 23:25:53,E620029L,1
2017/03/07 23:26:05,E601043L,1
2017/03/08 01:42:51,E620002L,2
2017/03/08 01:49:10,E630227L,1
2017/03/08 01:49:21,E851132L,1
2017/03/08 01:49:28,E620002L,1
2017/03/08 01:51:48,E620002L,3
2017/03/08 01:57:51,E620002L,2
2017/03/08 02:15:13,E601043L,1
2017/03/08 02:17:07,E851214L,1
2017/03/08 02:25:46,E601043L,1
2017/03/08 02:25:47,E851214L,1
2017/03/08 02:46:27,E620002L,1
2017/03/08 07:34:39,E620002L,1
2017/03/08 07:38:21,E620002L,2
2017/03/08 07:53:50,E620002L,1
2017/03/08 07:55:40,E530801L,1
2017/03/08 07:59:42,E620002L,1
2017/03/08 08:02:04,E530801L,1
2017/03/08 08:06:33,E630261L,1
2017/03/08 08:15:46,E620002L,1
2017/03/08 08:20:01,E620002L,1
2017/03/08 09:00:32,E620002L,1
2017/03/08 09:25:36,E620002L,1
2017/03/08 09:27:40,E620002L,1
2017/03/08 09:30:36,E620002L,1
2017/03/08 09:40:41,E630227L,1
2017/03/08 10:17:47,E620002L,1
2017/03/08 20:50:52,E620002L,1
2017/03/08 20:58:59,E620002L,1
2017/03/08 21:08:09,E620002L,4
2017/03/08 21:19:20,E630222L,1
2017/03/08 23:37:28,E601043L,1
2017/03/08 23:37:28,E620029L,1
2017/03/09 03:44:15,E630224L,1
2017/03/09 03:44:17,E851079L,1
2017/03/09 07:16:26,E630224L,1
2017/03/09 07:32:09,E630224L,1
2017/03/09 09:08:37,E620003L,1
2017/03/09 09:08:38,E620029L,1
2017/03/09 09:09:35,E550903L,1
2017/03/09 09:30:33,E630234L,1
2017/03/09 09:38:29,E630222L,1
2017/03/09 10:00:20,E620002L,6
2017/03/09 10:16:33,E620002L,3
2017/03/09 10:41:46,E620002L,1
2017/03/09 11:00:41,E620002L,2
2017/03/09 11:04:52,E620002L,1
2017/03/09 11:17:21,E620002L,1
2017/03/09 11:52:28,E620002L,1
2017/03/09 12:28:44,E630224L,1
2017/03/09 12:29:12,E620002L,1
2017/03/09 12:30:53,E630267L,1
2017/03/09 12:31:34,E620002L,1
2017/03/09 12:44:17,E620002L,1
2017/03/09 12:48:18,E620002L,1
2017/03/09 13:17:59,E620002L,1
2017/03/09 13:37:11,E601043L,1
2017/03/09 13:37:11,E620029L,1
2017/03/09 13:55:32,E620002L,1
2017/03/09 14:15:57,E620002L,4
2017/03/09 14:45:06,E620002L,4
2017/03/09 14:48:34,E620002L,1
2017/03/09 14:51:45,E620002L,1
2017/03/09 15:10:46,E620003L,1
2017/03/09 15:10:49,E620029L,1
2017/03/09 15:11:11,E601043L,1
2017/03/09 15:23:59,E620002L,1
2017/03/09 15:36:25,E620002L,1
2017/03/09 16:16:13,E620003L,1
2017/03/09 16:16:14,E620029L,1
2017/03/09 16:16:31,E550903L,1
2017/03/09 16:18:08,E620002L,1
2017/03/09 17:27:26,E620002L,1
2017/03/09 17:34:41,E620002L,1
2017/03/09 19:04:07,E601043L,1
2017/03/09 19:04:07,E620029L,1
2017/03/09 19:12:24,E620002L,1
2017/03/09 20:20:19,E620002L,1
2017/03/09 20:59:22,E620002L,4
2017/03/09 23:22:07,E620002L,1
2017/03/10 10:29:40,E620002L,1
2017/03/10 11:00:00,E620002L,1
2017/03/10 12:30:56,E620002L,1
2017/03/10 12:37:15,E620002L,2
2017/03/10 13:38:46,E620003L,1
2017/03/10 13:38:47,E620029L,1
2017/03/10 13:38:52,E550903L,1
2017/03/10 13:38:57,E620002L,1
2017/03/10 14:08:56,E601043L,1
2017/03/10 14:08:56,E620029L,1
2017/03/10 15:13:54,E620002L,1
2017/03/10 15:51:44,E620002L,2
2017/03/10 16:57:13,E620003L,1
2017/03/10 16:57:14,E620029L,1
2017/03/10 16:57:43,E601043L,1
2017/03/10 16:58:25,E620002L,2
2017/03/10 17:13:51,E620002L,2
2017/03/10 22:13:25,E620002L,1
2017/03/10 22:16:38,E620002L,1
2017/03/10 22:21:40,E620002L,1
2017/03/10 22:37:14,E620002L,1
2017/03/10 22:55:39,E630261L,1
2017/03/11 00:26:12,E620002L,1
