,now_status_predict
0,4.11256885529
1,4.12069559097
2,4.15200948715
3,4.45442247391
4,4.80659389496
5,5.28398323059
6,5.43959712982
7,6.44522547531
8,10.5317497844
9,16.7496597936
10,27.7476234497
11,30.7262544693
12,33.3658008637
13,34.571838385
14,28.4719543527
15,29.2872772287
16,30.4146108698
17,40.220398559
18,45.7552639777
19,55.8594639899
20,67.6185029151
21,70.4036934973
22,76.6737813422
23,79.1106957862
24,84.3421847902
25,84.8673427187
26,86.964931488
27,86.4076461792
28,86.9020195007
29,86.8199310303
30,86.6544952393
31,87.7193107605
32,87.8490028381
33,87.9145278931
34,87.8563270569
35,87.7621879578
36,87.8187484741
37,87.8310279846
38,87.8338012695
39,87.8749351501
40,88.0410957336
41,88.0227050781
42,88.2504463196
43,88.5004730225
44,88.9430122375
45,90.3453598022
46,91.5103111267
47,93.1915931702
