StartTime,ErrCode,Repetition
2017/03/01 07:04:06,E620032L,1
2017/03/01 07:41:17,E620002L,1
2017/03/01 07:55:40,E620002L,1
2017/03/01 08:37:23,E630224L,1
2017/03/01 08:56:05,E630261L,1
2017/03/01 08:57:26,E620002L,1
2017/03/01 09:58:58,E630261L,1
2017/03/01 10:16:55,E620002L,2
2017/03/01 11:37:23,E630235L,1
2017/03/01 11:44:45,E620002L,1
2017/03/01 11:54:54,E620002L,3
2017/03/01 11:56:03,E630235L,1
2017/03/01 12:02:07,E620002L,1
2017/03/01 15:04:50,E601043L,1
2017/03/01 15:04:50,E620003L,1
2017/03/01 15:04:51,E620029L,1
2017/03/01 15:05:51,E620002L,1
2017/03/01 16:19:09,E620002L,1
2017/03/01 21:02:18,E620002L,1
2017/03/01 21:04:37,E620002L,2
2017/03/01 22:00:16,E630235L,1
2017/03/01 22:31:42,E630235L,1
2017/03/02 00:21:29,E630234L,1
2017/03/02 01:01:01,E620002L,1
2017/03/02 01:07:33,E601043L,1
2017/03/02 01:07:33,E620029L,1
2017/03/02 07:02:51,E620002L,1
2017/03/02 07:46:18,E620002L,1
2017/03/02 11:07:48,E620002L,1
2017/03/02 11:27:52,E620002L,1
2017/03/02 11:59:47,E620002L,1
2017/03/02 12:22:11,E620002L,2
2017/03/02 12:24:21,E620002L,1
2017/03/02 12:29:32,E620002L,1
2017/03/02 12:39:30,E630267L,1
2017/03/02 12:41:22,E620002L,4
2017/03/02 12:43:27,E620002L,1
2017/03/02 13:09:15,E602017L,1
2017/03/02 13:09:30,E620002L,1
2017/03/02 22:07:23,E620002L,1
2017/03/02 22:11:16,E620002L,2
2017/03/03 01:14:05,E620002L,1
2017/03/03 01:22:29,E620002L,1
2017/03/03 09:46:50,E620002L,1
2017/03/03 14:33:30,E620003L,1
2017/03/03 14:33:30,E620029L,1
2017/03/03 14:33:50,E601043L,1
2017/03/04 00:06:19,E620003L,1
2017/03/04 00:06:19,E620029L,1
2017/03/04 00:06:53,E601043L,1
2017/03/04 01:46:02,E630227L,1
2017/03/04 04:10:39,E620002L,1
